time,car_id,lane_number,current_velocity,following_distance,ahead_distance,label
0,1,3,15.735797283690086,4.1040760230410624,1.3864117882900084,0
0,2,3,20.65979088102075,0.574840641788768,3.27627604273068,0
0,3,3,25.256198348860597,4.478698474760447,0.9043548074058976,0
0,4,1,28.466996296704657,2.0546631555968125,4.554053911970771,0
0,5,1,25.8765062974638,0.4900484671088578,2.9432316574296458,0
0,6,3,16.47861696171981,4.941761249358568,3.0729424698693557,0
0,7,2,29.898906866618724,1.3717165410459682,1.1251459765657523,0
0,8,3,12.214412675402135,2.4094258754009994,4.176627658864728,0
0,9,2,20.330390287538567,1.1594675388322413,2.722384039230464,0
0,10,1,19.96101316437709,2.505013649015712,0.933625114138552,0
0,11,2,27.58710577963729,2.0647822328800425,4.46206478946508,0
0,12,1,27.286774184440574,2.138886196949035,0.5590939113044019,0
0,13,2,22.183313558578572,1.6585860788718794,2.9806537796011967,0
0,14,1,24.252170454290525,4.572280783801724,4.131443514411845,0
0,15,1,24.472107107384254,2.6062119960414645,0.9524079312662188,0
0,16,2,16.705419267354685,1.5087844069228096,2.1609506941749013,0
5,1,3,18.8717030079752,4.88905726419676,4.340497548855079,1
5,2,3,10.85629147859323,3.4428800298836637,2.055282670696412,-1
5,3,1,21.87453264341407,4.345043670790918,1.0551750119801446,1
5,4,2,11.85254238835375,4.505279403915839,2.394480631885561,-1
5,5,3,23.849529700361128,3.7298348801890286,0.967421604729985,-1
5,6,2,19.4889285393663,2.7673737217717416,4.651895577220176,1
5,7,3,24.89238341735436,2.241759886179689,1.4004353057687158,1
5,8,1,26.632435537992293,4.940540553917884,1.2951944976016616,-1
5,9,1,17.04417070977613,1.2961761066316295,4.734263197713556,1
5,10,2,18.655290384584024,1.9603768553961527,2.7618264897258853,1
5,11,3,27.611023206932856,0.5970250518769477,1.362824741165941,-1
5,12,1,25.994997388309145,1.657409249563702,3.8812990173308393,1
5,13,2,20.719485177059383,4.179841968309673,0.3411995368746795,-1
5,14,3,29.86156896971502,2.667287501659154,4.9671899665108725,1
5,15,3,14.585827744755113,2.752169564241985,2.129066460447796,1
5,16,2,20.687164735291866,3.934322006021119,3.1072184637270865,1
5,17,2,10.328146840260985,3.8961737226426174,4.09488095501997,0
5,18,3,14.928199719129418,0.963641774985352,2.60131851994625,0
5,19,3,10.889649774711764,2.45519738863944,0.4885637325720837,0
5,20,3,17.5152802081715,2.990290789558603,2.1384511857220327,0
5,21,1,28.034919015305857,0.351707706827738,1.5004731129875686,0
5,22,3,28.077784260799547,4.0080778772451175,0.4526628720575099,0
5,23,2,24.637866646407183,2.578952521803512,3.97032563406948,0
5,24,1,29.796307341038645,4.1594188973337785,2.8219304454003318,0
10,1,3,20.58579662911321,2.263289496101262,4.225460817937733,-1
10,2,2,11.28926652070129,1.8474274689801773,4.691737052060069,1
10,3,1,27.35746776731489,0.2066789244156297,3.0442427826959024,1
10,4,3,23.11349719332277,0.712424367089603,4.652285393770628,1
10,5,1,13.631927500874852,4.936458328704081,4.753820011239716,1
10,6,1,16.752377455715006,1.645922710496948,4.315400394905641,-1
10,7,1,16.348144307142647,3.139811983553344,0.1211262549538988,-1
10,8,2,23.4816997300789,1.4601973033987008,1.2550772577162013,-1
10,9,2,28.14935129377162,0.7783397070948994,0.1505464675459572,-1
10,10,2,27.925142840850405,0.816168267068656,1.918938227304181,-1
10,11,3,15.32045169246408,4.216952013319669,3.378026849952758,1
10,12,1,14.056559877459932,0.7910441983862698,3.3075096207219588,-1
10,13,2,14.872720970507796,4.420085318176887,4.022209572586427,1
10,14,2,14.371541040016414,4.40968330856181,2.432513368796961,-1
10,15,3,12.539426868003488,3.6040080312494127,1.1603197494069568,-1
10,16,3,29.313567982161064,4.316040534620399,2.6228318108356303,-1
10,17,2,11.851231924976853,4.210067764342529,3.76101143688464,-1
10,18,1,14.210319297929471,2.01399543439472,3.655299358206172,1
10,19,3,13.181846355471375,2.316634289510177,1.623837508711604,1
10,20,3,24.12931792757173,4.3600437342200005,1.678383340581819,-1
10,21,3,20.547826969582182,1.0747477495002138,1.403355613053735,-1
10,22,1,13.491557978961804,3.186008652450594,0.3508670607932435,-1
10,23,1,18.02340651496506,1.345713460037694,1.1092414872833445,-1
10,24,3,27.94124094937584,4.016429632039077,1.8004087122750712,-1
10,25,3,24.17753723508786,4.40270629158319,0.5892372749669078,0
10,26,3,27.88526467622432,4.519237819620519,4.2163756920373725,0
15,1,2,12.431848072429489,2.675881819040033,3.3164154009111013,-1
15,2,2,27.564204952760463,1.1937544663173334,0.525752880337963,-1
15,3,1,28.665485980325307,1.9718399168188736,4.50451112550688,1
